datetime,machineID,volt,rotate,pressure,vibration,errorID,failure,comp_maint,age,model
2023-01-01 22:00:00,10,220.26,1420.83,120.67,35.51,E4,none,none,8,C
2023-01-01 23:00:00,6,227.56,1382.8,80.55,35.45,none,none,none,9,A
2023-01-02 00:00:00,9,221.26,1341.35,86.0,35.47,E1,none,none,2,D
2023-01-02 01:00:00,1,230.03,1457.78,102.3,44.22,E3,none,comp4,15,A
2023-01-02 02:00:00,10,217.06,1644.37,94.17,39.51,E2,none,none,18,D
2023-01-02 03:00:00,3,223.61,1308.51,102.61,51.49,E4,none,none,3,B
2023-01-02 04:00:00,7,239.3,1585.19,99.28,45.93,E1,none,none,17,A
2023-01-02 05:00:00,4,198.7,1576.83,89.76,41.29,none,none,none,4,B
2023-01-02 06:00:00,9,222.17,1555.47,112.88,47.02,none,comp4,none,4,B
2023-01-02 07:00:00,3,222.12,1573.32,104.65,37.52,none,none,comp1,14,D
2023-01-02 08:00:00,5,238.41,1389.58,94.4,30.73,E1,none,none,9,D
2023-01-02 09:00:00,3,215.47,1576.16,115.05,35.05,E1,none,none,9,D
2023-01-02 10:00:00,7,233.06,1445.07,94.92,40.74,none,none,comp4,18,A
2023-01-02 11:00:00,5,242.05,1254.08,87.58,38.89,E2,none,none,10,C
2023-01-02 12:00:00,9,183.0,1505.74,101.84,44.12,E1,none,none,4,D
2023-01-02 13:00:00,7,243.37,1415.59,103.53,39.38,none,none,none,12,D
2023-01-02 14:00:00,2,200.29,1635.88,105.32,43.74,none,none,comp4,8,A
2023-01-02 15:00:00,4,198.12,1471.37,106.96,47.5,none,comp2,none,2,D
2023-01-02 16:00:00,9,162.41,1504.56,105.16,39.36,none,none,none,13,A
2023-01-02 17:00:00,2,203.94,1538.92,104.75,42.78,none,none,none,16,B
2023-01-02 18:00:00,10,219.9,1473.26,94.26,31.23,none,none,none,2,D
2023-01-02 19:00:00,9,212.33,1489.62,93.19,39.38,none,none,none,11,D
2023-01-02 20:00:00,10,210.75,1584.36,107.42,33.84,none,none,none,10,B
2023-01-02 21:00:00,5,197.75,1393.37,102.43,40.73,none,none,none,15,B
2023-01-02 22:00:00,2,237.34,1429.82,108.2,41.18,none,comp3,none,17,B
2023-01-02 23:00:00,4,239.17,1403.29,82.93,41.16,E1,none,comp1,8,D
2023-01-03 00:00:00,7,228.36,1643.68,94.99,37.6,none,none,none,18,C
2023-01-03 01:00:00,8,182.27,1429.83,119.07,51.49,E3,comp4,none,9,C
2023-01-03 02:00:00,3,265.47,1485.67,105.53,33.66,E4,none,none,8,C
2023-01-03 03:00:00,1,222.94,1439.94,102.96,33.35,none,none,none,14,D
2023-01-03 04:00:00,4,230.79,1469.18,107.08,48.27,none,none,none,18,B
2023-01-03 05:00:00,2,190.03,1426.26,122.08,36.48,none,none,none,12,D
2023-01-03 06:00:00,8,219.77,1546.27,119.98,35.28,none,comp1,none,19,B
2023-01-03 07:00:00,4,228.27,1395.91,84.2,51.51,none,none,none,14,D
2023-01-03 08:00:00,2,217.18,1364.75,87.89,44.93,none,none,none,17,D
2023-01-03 09:00:00,6,237.44,1444.16,83.87,37.03,none,none,none,3,B
2023-01-03 10:00:00,6,246.01,1420.18,92.53,41.09,none,comp2,none,7,C
2023-01-03 11:00:00,10,193.13,1366.22,100.55,49.73,none,none,comp1,17,B
2023-01-03 12:00:00,4,237.0,1467.66,102.42,43.46,none,comp3,none,12,A
2023-01-03 13:00:00,6,227.89,1333.99,84.7,46.43,none,none,comp3,9,A
2023-01-03 14:00:00,2,219.91,1672.77,81.33,44.02,none,none,comp2,15,B
2023-01-03 15:00:00,10,188.58,1350.74,92.35,44.65,none,none,none,18,D
2023-01-03 16:00:00,2,249.6,1435.37,109.16,40.2,E4,none,none,13,A
2023-01-03 17:00:00,10,227.94,1459.64,110.9,40.06,none,none,none,8,A
2023-01-03 18:00:00,4,184.33,1668.47,117.06,41.34,none,none,none,14,D
2023-01-03 19:00:00,8,215.14,1326.97,99.68,43.67,none,none,none,8,D
2023-01-03 20:00:00,7,226.54,1514.21,108.28,38.58,none,comp1,none,14,C
2023-01-03 21:00:00,9,230.13,1603.72,110.1,40.61,E4,comp4,none,7,D
2023-01-03 22:00:00,8,217.45,1469.03,95.03,38.45,E1,none,none,12,B
2023-01-03 23:00:00,5,226.83,1383.02,103.88,40.58,none,none,none,11,B
2023-01-04 00:00:00,2,262.38,1489.2,106.59,33.75,E1,none,none,11,C
2023-01-04 01:00:00,5,250.93,1652.71,90.91,53.03,E4,none,none,13,A
2023-01-04 02:00:00,8,201.01,1438.42,116.42,36.34,E3,none,none,18,A
2023-01-04 03:00:00,10,208.06,1643.62,99.61,38.19,E1,none,none,2,D
2023-01-04 04:00:00,9,217.78,1525.87,100.87,35.9,E1,comp2,none,15,B
2023-01-04 05:00:00,9,185.02,1623.25,90.53,43.08,none,none,comp1,18,A
2023-01-04 06:00:00,1,193.17,1521.87,92.21,39.02,none,comp2,none,15,C
2023-01-04 07:00:00,9,187.57,1451.56,78.03,35.18,none,comp1,none,19,C
2023-01-04 08:00:00,7,197.05,1663.89,100.55,43.28,none,none,none,12,B
2023-01-04 09:00:00,9,247.79,1522.52,125.06,43.96,none,comp1,none,13,C
2023-01-04 10:00:00,8,202.9,1516.64,89.81,39.67,none,none,comp3,11,C
2023-01-04 11:00:00,1,199.46,1580.76,129.76,36.68,none,none,none,5,B
2023-01-04 12:00:00,8,237.66,1592.42,114.14,50.96,E1,none,comp3,1,D
2023-01-04 13:00:00,8,211.01,1581.29,95.26,41.7,E3,none,none,3,D
2023-01-04 14:00:00,3,228.37,1364.93,100.27,33.63,none,none,none,19,C
2023-01-04 15:00:00,1,205.44,1436.28,98.65,47.07,none,none,none,7,D
2023-01-04 16:00:00,8,183.96,1434.35,117.06,35.72,E2,none,none,12,D
2023-01-04 17:00:00,3,229.35,1422.09,105.17,53.71,none,none,none,15,C
2023-01-04 18:00:00,3,188.97,1412.79,111.82,40.4,E2,none,comp2,5,D
2023-01-04 19:00:00,1,209.79,1432.9,103.58,45.07,none,none,comp1,15,C
2023-01-04 20:00:00,5,205.34,1533.59,98.88,29.6,none,none,none,8,A
2023-01-04 21:00:00,10,223.91,1549.44,103.26,33.58,E4,none,comp3,10,B
2023-01-04 22:00:00,7,208.88,1499.84,95.93,46.67,none,none,comp1,16,B
2023-01-04 23:00:00,10,217.45,1457.4,85.48,41.59,none,none,none,8,D
2023-01-05 00:00:00,9,188.79,1627.55,108.14,50.21,E2,none,none,1,D
2023-01-05 01:00:00,7,260.01,1490.84,84.99,42.43,none,none,none,12,D
2023-01-05 02:00:00,9,196.0,1593.71,97.31,40.73,none,none,none,5,B
2023-01-05 03:00:00,8,244.03,1443.07,95.6,48.57,E4,none,none,3,A
2023-01-05 04:00:00,2,223.0,1541.37,106.43,45.05,none,none,none,1,A
2023-01-05 05:00:00,1,222.82,1634.21,115.65,39.02,E2,comp3,none,4,B
2023-01-05 06:00:00,7,227.09,1239.12,112.05,34.53,none,none,none,8,A
2023-01-05 07:00:00,7,182.39,1434.49,106.72,28.14,none,comp2,none,3,B
2023-01-05 08:00:00,8,239.33,1559.37,93.7,37.81,none,none,comp3,10,A
2023-01-05 09:00:00,5,209.78,1621.28,98.17,34.07,none,none,comp2,2,C
2023-01-05 10:00:00,3,244.21,1520.31,96.71,52.99,E3,none,none,11,C
2023-01-05 11:00:00,8,216.98,1504.96,95.3,36.75,E3,none,comp1,10,B
2023-01-05 12:00:00,6,212.51,1661.06,95.98,36.61,none,none,none,14,A
2023-01-05 13:00:00,3,194.18,1627.4,95.71,32.39,E1,none,none,7,D
2023-01-05 14:00:00,1,204.69,1413.14,95.27,38.67,none,none,none,2,A
2023-01-05 15:00:00,3,228.45,1511.64,109.52,36.68,none,none,none,9,C
2023-01-05 16:00:00,5,193.84,1536.02,89.45,48.69,none,none,none,16,C
2023-01-05 17:00:00,3,180.19,1671.86,92.71,40.84,none,none,none,13,A
2023-01-05 18:00:00,1,202.85,1586.61,84.17,39.96,none,none,none,9,A
2023-01-05 19:00:00,5,236.8,1489.64,114.15,39.33,E1,none,none,4,D
2023-01-05 20:00:00,10,255.63,1522.01,92.03,43.93,none,none,none,10,D
2023-01-05 21:00:00,7,206.45,1311.61,106.61,37.74,none,comp1,none,12,A
2023-01-05 22:00:00,7,189.02,1596.86,104.75,43.34,none,none,none,17,A
2023-01-05 23:00:00,9,213.14,1564.57,113.19,48.07,none,comp3,none,14,A
2023-01-06 00:00:00,10,223.68,1621.22,97.9,42.3,E1,none,none,14,A
2023-01-06 01:00:00,10,231.56,1485.6,90.52,38.75,none,none,none,2,B
2023-01-06 02:00:00,3,262.69,1512.8,84.44,35.23,none,none,none,11,A
2023-01-06 03:00:00,7,224.54,1451.87,72.15,38.62,none,none,none,16,D
2023-01-06 04:00:00,1,253.11,1385.19,101.61,42.82,none,none,none,19,C
2023-01-06 05:00:00,4,210.74,1439.77,107.75,32.34,none,none,none,6,B
2023-01-06 06:00:00,4,221.73,1318.07,104.72,44.16,none,none,none,19,A
2023-01-06 07:00:00,5,208.14,1591.46,84.7,41.04,E1,none,none,5,C
2023-01-06 08:00:00,7,206.4,1282.51,110.39,39.25,E2,none,none,4,B
2023-01-06 09:00:00,7,214.73,1703.21,93.02,36.7,none,comp2,none,15,C
2023-01-06 10:00:00,4,214.39,1323.59,90.93,37.62,none,none,none,4,A
2023-01-06 11:00:00,7,207.92,1649.99,92.79,42.99,none,none,none,10,A
2023-01-06 12:00:00,3,209.01,1409.19,100.78,39.36,none,none,none,3,D
2023-01-06 13:00:00,6,241.94,1556.1,85.15,37.49,none,none,none,5,A
2023-01-06 14:00:00,2,262.26,1424.76,99.63,42.34,none,none,comp1,6,A
2023-01-06 15:00:00,10,210.03,1667.37,104.29,42.54,none,comp4,none,8,B
2023-01-06 16:00:00,9,213.51,1504.37,111.07,33.75,none,none,none,7,D
2023-01-06 17:00:00,5,230.49,1607.37,101.76,42.86,none,none,none,10,B
2023-01-06 18:00:00,6,283.74,1507.6,86.6,52.51,none,none,none,6,C
2023-01-06 19:00:00,4,221.68,1535.3,101.49,42.35,none,comp1,none,14,A
2023-01-06 20:00:00,10,239.45,1561.61,89.4,31.5,none,none,none,4,C
2023-01-06 21:00:00,7,250.89,1447.13,88.82,40.89,none,none,none,13,B
2023-01-06 22:00:00,9,226.88,1371.97,86.37,30.85,E2,none,none,17,A
2023-01-06 23:00:00,7,238.52,1369.84,80.89,55.84,none,none,none,7,A
2023-01-07 00:00:00,1,232.16,1505.08,94.33,51.18,E4,none,comp4,4,B
2023-01-07 01:00:00,1,240.65,1451.14,111.29,36.67,none,comp2,none,14,B
2023-01-07 02:00:00,9,199.31,1285.41,122.56,28.77,E2,none,none,3,B
2023-01-07 03:00:00,9,224.09,1551.29,94.26,35.61,none,none,none,5,B
2023-01-07 04:00:00,4,229.62,1378.15,110.86,39.1,E1,none,none,16,B
2023-01-07 05:00:00,9,229.34,1383.97,96.05,31.19,E1,none,none,4,A
2023-01-07 06:00:00,3,242.74,1495.84,83.49,39.65,none,none,none,2,B
2023-01-07 07:00:00,7,228.94,1409.99,107.01,39.06,none,none,none,18,A
2023-01-07 08:00:00,6,197.1,1512.25,102.35,40.63,none,none,none,19,A
2023-01-07 09:00:00,8,231.83,1697.35,118.18,41.15,none,none,none,19,B
2023-01-07 10:00:00,9,202.34,1462.09,84.65,35.17,none,none,comp1,17,B
2023-01-07 11:00:00,5,206.01,1394.04,127.96,35.73,none,none,none,14,D
2023-01-07 12:00:00,1,211.63,1518.15,115.92,40.23,none,none,none,19,A
2023-01-07 13:00:00,3,217.77,1422.48,99.82,36.85,none,none,none,13,B
2023-01-07 14:00:00,10,189.13,1502.38,97.01,44.54,E1,none,none,12,B
2023-01-07 15:00:00,8,242.34,1531.56,92.84,40.18,none,none,none,6,B
2023-01-07 16:00:00,6,196.89,1496.48,101.1,49.33,E4,comp2,none,4,D
2023-01-07 17:00:00,8,251.4,1505.66,98.16,44.1,none,none,none,19,D
2023-01-07 18:00:00,9,197.5,1519.21,105.14,45.52,none,none,none,16,C
2023-01-07 19:00:00,4,245.64,1659.71,97.06,40.66,none,none,none,13,A
2023-01-07 20:00:00,1,219.43,1474.71,114.15,40.79,none,none,none,4,C
2023-01-07 21:00:00,1,185.67,1512.74,101.25,48.66,E2,none,none,17,B
2023-01-07 22:00:00,10,199.14,1586.68,97.43,38.11,none,comp1,comp1,1,D
2023-01-07 23:00:00,4,246.53,1547.1,110.24,42.73,E1,none,none,18,D
2023-01-08 00:00:00,7,228.97,1464.18,83.77,38.67,none,none,none,17,C
2023-01-08 01:00:00,2,218.43,1590.19,103.41,38.66,none,none,comp1,15,D
2023-01-08 02:00:00,3,175.66,1412.88,100.26,34.16,none,none,none,11,B
2023-01-08 03:00:00,1,247.79,1477.33,85.89,36.29,none,none,comp1,13,D
2023-01-08 04:00:00,5,257.41,1422.89,82.91,35.36,none,none,none,1,C
2023-01-08 05:00:00,1,253.76,1557.62,110.1,42.97,none,none,comp3,17,B
2023-01-08 06:00:00,8,207.7,1618.96,109.63,45.2,none,comp1,none,6,C
2023-01-08 07:00:00,1,227.66,1522.33,101.73,39.53,none,none,none,4,D
2023-01-08 08:00:00,1,229.84,1507.53,117.17,41.15,none,none,none,16,C
2023-01-08 09:00:00,2,189.45,1412.5,104.41,39.24,none,none,comp3,15,C
2023-01-08 10:00:00,2,223.61,1429.74,112.5,35.95,none,none,comp1,15,A
2023-01-08 11:00:00,6,241.42,1380.67,104.2,44.31,none,none,none,6,D
2023-01-08 12:00:00,7,235.29,1282.33,97.24,43.26,none,none,none,15,D
2023-01-08 13:00:00,5,197.78,1460.9,89.42,30.54,none,none,comp3,14,C
2023-01-08 14:00:00,1,202.75,1470.19,93.97,38.58,none,none,none,11,A
2023-01-08 15:00:00,1,235.81,1717.28,97.43,35.59,none,none,none,7,D
2023-01-08 16:00:00,3,232.66,1656.28,113.63,38.05,none,none,comp1,9,B
2023-01-08 17:00:00,2,174.92,1555.56,107.7,36.65,E2,none,none,16,C
2023-01-08 18:00:00,5,170.87,1708.45,103.3,39.77,none,none,none,5,D
2023-01-08 19:00:00,10,218.47,1639.09,108.7,38.35,none,none,none,10,B
2023-01-08 20:00:00,6,208.21,1299.24,105.27,38.24,none,none,none,18,D
2023-01-08 21:00:00,7,214.03,1606.75,102.62,45.54,none,none,comp2,3,B
2023-01-08 22:00:00,4,211.77,1571.15,85.01,42.79,none,none,none,13,C
2023-01-08 23:00:00,7,239.68,1471.06,111.39,36.48,none,none,comp2,11,D
2023-01-09 00:00:00,8,222.07,1358.48,95.41,37.22,E2,none,none,17,D
2023-01-09 01:00:00,1,225.35,1559.54,110.89,42.46,none,none,comp4,13,A
2023-01-09 02:00:00,6,193.15,1292.09,111.85,42.45,none,none,none,6,C
2023-01-09 03:00:00,8,152.72,1497.85,93.3,36.98,none,none,none,17,B
2023-01-09 04:00:00,5,242.47,1438.29,109.5,38.83,none,none,none,13,D
2023-01-09 05:00:00,4,262.86,1374.12,96.39,49.23,none,comp2,none,19,D
2023-01-09 06:00:00,2,213.15,1618.88,96.45,37.07,none,none,none,19,B
2023-01-09 07:00:00,6,224.99,1495.87,102.57,49.55,none,none,comp1,10,C
